 ,Label,BX,BY,Width,Height
1,1507_1503_20180315_033851.bmp,1141,138,1,1
2,1507_1503_20180315_035351.bmp,1143,139,1,1
3,1507_1503_20180315_040851.bmp,1142,139,1,1
4,1507_1503_20180315_042351.bmp,1139,142,1,1
5,1507_1503_20180315_043851.bmp,1138,143,1,1
6,1507_1503_20180315_045351.bmp,1139,145,1,1
7,1507_1503_20180315_050851.bmp,1141,146,1,1
8,1507_1503_20180315_052351.bmp,1141,148,1,1
9,1507_1503_20180315_053851.bmp,1139,150,1,1
10,1507_1503_20180315_055351.bmp,1136,151,1,1
11,1507_1503_20180315_060851.bmp,1135,151,1,1
12,1507_1503_20180315_062351.bmp,1135,153,1,1
13,1507_1503_20180315_063851.bmp,1135,155,1,1
14,1507_1503_20180315_065351.bmp,1137,156,1,1
15,1507_1503_20180315_070851.bmp,1138,158,1,1
16,1507_1503_20180315_072351.bmp,1137,159,1,1
17,1507_1503_20180315_073851.bmp,1133,160,1,1
18,1507_1503_20180315_075351.bmp,1131,162,1,1
19,1507_1503_20180315_080851.bmp,1132,164,1,1
20,1507_1503_20180315_082351.bmp,1135,166,1,1
21,1507_1503_20180315_083851.bmp,1136,168,1,1
22,1507_1503_20180315_085351.bmp,1133,168,1,1
23,1507_1503_20180315_090851.bmp,1129,169,1,1
24,1507_1503_20180315_092351.bmp,1127,170,1,1
25,1507_1503_20180315_093851.bmp,1128,173,1,1
26,1507_1503_20180315_095351.bmp,1132,175,1,1
27,1507_1503_20180315_100851.bmp,1134,177,1,1
28,1507_1503_20180315_102351.bmp,1131,177,1,1
29,1507_1503_20180315_103851.bmp,1126,179,1,1
30,1507_1503_20180315_105351.bmp,1124,180,1,1
31,1507_1503_20180315_110851.bmp,1127,183,1,1
32,1507_1503_20180315_112351.bmp,1131,185,1,1
33,1507_1503_20180315_113851.bmp,1131,187,1,1
34,1507_1503_20180315_115351.bmp,1126,187,1,1
35,1507_1503_20180315_120851.bmp,1123,189,1,1
36,1507_1503_20180315_122351.bmp,1124,191,1,1
37,1507_1503_20180315_123851.bmp,1129,194,1,1
38,1507_1503_20180315_125351.bmp,1132,196,1,1
39,1507_1503_20180315_130851.bmp,1128,197,1,1
40,1507_1503_20180315_132351.bmp,1124,198,1,1
41,1507_1503_20180315_133851.bmp,1121,199,1,1
42,1507_1503_20180315_135351.bmp,1124,203,1,1
43,1507_1503_20180315_140851.bmp,1129,205,1,1
44,1507_1503_20180315_142351.bmp,1132,206,1,1
45,1507_1503_20180315_143851.bmp,1128,206,1,1
46,1507_1503_20180315_145351.bmp,1122,209,1,1
47,1507_1503_20180315_150851.bmp,1120,211,1,1
48,1507_1503_20180315_152351.bmp,1123,214,1,1
49,1507_1503_20180315_153851.bmp,1129,217,1,1
50,1507_1503_20180315_155351.bmp,1129,217,1,1
51,1507_1503_20180315_160851.bmp,1124,217,1,1
52,1507_1503_20180315_162351.bmp,1117,220,1,1
53,1507_1503_20180315_163851.bmp,1117,222,1,1
54,1507_1503_20180315_165351.bmp,1122,225,1,1
55,1507_1503_20180315_170851.bmp,1127,228,1,1
56,1507_1503_20180315_172351.bmp,1127,230,1,1
57,1507_1503_20180315_173851.bmp,1122,230,1,1
58,1507_1503_20180315_175351.bmp,1115,231,1,1
59,1507_1503_20180315_180851.bmp,1115,234,1,1
60,1507_1503_20180315_182351.bmp,1120,236,1,1
61,1507_1503_20180315_183851.bmp,1124,239,1,1
62,1507_1503_20180315_185351.bmp,1124,239,1,1
63,1507_1503_20180315_190851.bmp,1119,240,1,1
64,1507_1503_20180315_192351.bmp,1113,241,1,1
65,1507_1503_20180315_193851.bmp,1110,242,1,1
66,1507_1503_20180315_195351.bmp,1111,245,1,1
67,1507_1503_20180315_200851.bmp,1117,248,1,1
68,1507_1503_20180315_202351.bmp,1121,249,1,1
69,1507_1503_20180315_203851.bmp,1120,250,1,1
70,1507_1503_20180315_205351.bmp,1115,251,1,1
71,1507_1503_20180315_210851.bmp,1110,251,1,1
72,1507_1503_20180315_212351.bmp,1109,255,1,1
73,1507_1503_20180315_213851.bmp,1112,257,1,1
74,1507_1503_20180315_215351.bmp,1117,259,1,1
75,1507_1503_20180315_220851.bmp,1120,262,1,1
76,1507_1503_20180315_222351.bmp,1119,262,1,1
77,1507_1503_20180315_223851.bmp,1115,262,1,1
78,1507_1503_20180315_225351.bmp,1108,263,1,1
79,1507_1503_20180315_230851.bmp,1102,265,1,1
80,1507_1503_20180315_232351.bmp,1104,267,1,1
81,1507_1503_20180315_233851.bmp,1108,271,1,1
82,1507_1503_20180315_235351.bmp,1113,273,1,1
83,1507_1503_20180316_000851.bmp,1116,275,1,1
84,1507_1503_20180316_002351.bmp,1117,277,1,1
85,1507_1503_20180316_003851.bmp,1112,278,1,1
86,1507_1503_20180316_005351.bmp,1106,279,1,1
