 ,Label,BX,BY,Width,Height
1,1507_1503_20180315_033851.bmp,591,64,1,1
2,1507_1503_20180315_035351.bmp,591,65,1,1
3,1507_1503_20180315_040851.bmp,590,68,1,1
4,1507_1503_20180315_042351.bmp,591,68,1,1
5,1507_1503_20180315_043851.bmp,591,70,1,1
6,1507_1503_20180315_045351.bmp,590,71,1,1
7,1507_1503_20180315_050851.bmp,589,72,1,1
8,1507_1503_20180315_052351.bmp,589,73,1,1
9,1507_1503_20180315_053851.bmp,589,75,1,1
10,1507_1503_20180315_055351.bmp,589,77,1,1
11,1507_1503_20180315_060851.bmp,589,77,1,1
12,1507_1503_20180315_062351.bmp,589,80,1,1
13,1507_1503_20180315_063851.bmp,591,81,1,1
14,1507_1503_20180315_065351.bmp,590,82,1,1
15,1507_1503_20180315_070851.bmp,591,83,1,1
16,1507_1503_20180315_072351.bmp,591,86,1,1
17,1507_1503_20180315_073851.bmp,590,88,1,1
18,1507_1503_20180315_075351.bmp,592,89,1,1
19,1507_1503_20180315_080851.bmp,592,91,1,1
20,1507_1503_20180315_082351.bmp,593,93,1,1
21,1507_1503_20180315_083851.bmp,592,95,1,1
22,1507_1503_20180315_085351.bmp,592,96,1,1
23,1507_1503_20180315_090851.bmp,592,99,1,1
24,1507_1503_20180315_092351.bmp,591,100,1,1
25,1507_1503_20180315_093851.bmp,592,101,1,1
26,1507_1503_20180315_095351.bmp,592,104,1,1
27,1507_1503_20180315_100851.bmp,593,106,1,1
28,1507_1503_20180315_102351.bmp,592,109,1,1
29,1507_1503_20180315_103851.bmp,590,109,1,1
30,1507_1503_20180315_105351.bmp,588,112,1,1
31,1507_1503_20180315_110851.bmp,590,115,1,1
32,1507_1503_20180315_112351.bmp,592,117,1,1
33,1507_1503_20180315_113851.bmp,591,119,1,1
34,1507_1503_20180315_115351.bmp,589,120,1,1
35,1507_1503_20180315_120851.bmp,587,123,1,1
36,1507_1503_20180315_122351.bmp,589,125,1,1
37,1507_1503_20180315_123851.bmp,591,128,1,1
38,1507_1503_20180315_125351.bmp,590,132,1,1
39,1507_1503_20180315_130851.bmp,586,133,1,1
40,1507_1503_20180315_132351.bmp,584,136,1,1
41,1507_1503_20180315_133851.bmp,587,138,1,1
42,1507_1503_20180315_135351.bmp,592,141,1,1
43,1507_1503_20180315_140851.bmp,592,145,1,1
44,1507_1503_20180315_142351.bmp,588,147,1,1
45,1507_1503_20180315_143851.bmp,586,150,1,1
46,1507_1503_20180315_145351.bmp,587,152,1,1
47,1507_1503_20180315_150851.bmp,591,154,1,1
48,1507_1503_20180315_152351.bmp,590,158,1,1
49,1507_1503_20180315_153851.bmp,587,161,1,1
50,1507_1503_20180315_155351.bmp,585,163,1,1
51,1507_1503_20180315_160851.bmp,585,164,1,1
52,1507_1503_20180315_162351.bmp,587,168,1,1
53,1507_1503_20180315_163851.bmp,589,171,1,1
54,1507_1503_20180315_165351.bmp,587,175,1,1
55,1507_1503_20180315_170851.bmp,582,176,1,1
56,1507_1503_20180315_172351.bmp,581,177,1,1
57,1507_1503_20180315_173851.bmp,582,181,1,1
58,1507_1503_20180315_175351.bmp,583,185,1,1
59,1507_1503_20180315_180851.bmp,582,187,1,1
60,1507_1503_20180315_182351.bmp,580,190,1,1
61,1507_1503_20180315_183851.bmp,580,193,1,1
62,1507_1503_20180315_185351.bmp,581,197,1,1
63,1507_1503_20180315_190851.bmp,580,200,1,1
64,1507_1503_20180315_192351.bmp,579,203,1,1
65,1507_1503_20180315_193851.bmp,578,205,1,1
66,1507_1503_20180315_195351.bmp,579,208,1,1
67,1507_1503_20180315_200851.bmp,579,212,1,1
68,1507_1503_20180315_202351.bmp,580,215,1,1
69,1507_1503_20180315_203851.bmp,578,218,1,1
70,1507_1503_20180315_205351.bmp,577,221,1,1
71,1507_1503_20180315_210851.bmp,578,225,1,1
72,1507_1503_20180315_212351.bmp,580,228,1,1
73,1507_1503_20180315_213851.bmp,580,232,1,1
74,1507_1503_20180315_215351.bmp,576,234,1,1
75,1507_1503_20180315_220851.bmp,573,238,1,1
76,1507_1503_20180315_222351.bmp,575,242,1,1
77,1507_1503_20180315_223851.bmp,577,244,1,1
78,1507_1503_20180315_225351.bmp,577,248,1,1
79,1507_1503_20180315_230851.bmp,575,251,1,1
