 ,Label,BX,BY,Width,Height
1,1507_1503_20180504_161033.bmp,431,197,2,2
2,1507_1503_20180504_162533.bmp,431,200,2,2
3,1507_1503_20180504_164033.bmp,432,200,2,2
4,1507_1503_20180504_165533.bmp,431,202,2,2
5,1507_1503_20180504_171033.bmp,429,203,2,2
6,1507_1503_20180504_172533.bmp,428,205,2,2
7,1507_1503_20180504_174033.bmp,426,207,2,2
8,1507_1503_20180504_175533.bmp,425,209,2,2
9,1507_1503_20180504_181033.bmp,425,210,2,2
10,1507_1503_20180504_182533.bmp,423,212,2,2
11,1507_1503_20180504_184033.bmp,422,213,2,2
12,1507_1503_20180504_185533.bmp,422,215,2,2
13,1507_1503_20180504_191033.bmp,421,217,2,2
14,1507_1503_20180504_192533.bmp,421,218,2,2
15,1507_1503_20180504_194033.bmp,422,221,2,2
16,1507_1503_20180504_195533.bmp,422,222,2,2
17,1507_1503_20180504_201033.bmp,423,224,2,2
18,1507_1503_20180504_202533.bmp,424,225,2,2
19,1507_1503_20180504_204033.bmp,423,228,2,2
20,1507_1503_20180504_205533.bmp,422,229,2,2
21,1507_1503_20180504_211033.bmp,422,232,2,2
22,1507_1503_20180504_212533.bmp,425,234,2,2
23,1507_1503_20180504_214033.bmp,427,235,2,2
24,1507_1503_20180504_215533.bmp,425,237,2,2
25,1507_1503_20180504_221033.bmp,425,238,2,2
26,1507_1503_20180504_222533.bmp,425,241,2,2
27,1507_1503_20180504_224033.bmp,426,242,2,2
28,1507_1503_20180504_225533.bmp,430,245,2,2
29,1507_1503_20180504_231033.bmp,434,248,2,2
30,1507_1503_20180504_232533.bmp,434,248,2,2
31,1507_1503_20180504_234033.bmp,432,250,2,2
32,1507_1503_20180504_235533.bmp,430,251,2,2
33,1507_1503_20180505_001033.bmp,434,254,2,2
34,1507_1503_20180505_002533.bmp,438,256,2,2
35,1507_1503_20180505_004033.bmp,441,257,2,2
36,1507_1503_20180505_005533.bmp,441,259,2,2
37,1507_1503_20180505_011033.bmp,438,261,2,2
38,1507_1503_20180505_012533.bmp,436,263,2,2
39,1507_1503_20180505_014033.bmp,438,266,2,2
40,1507_1503_20180505_015533.bmp,440,268,2,2
41,1507_1503_20180505_021033.bmp,443,271,2,2
42,1507_1503_20180505_022533.bmp,440,272,2,2
43,1507_1503_20180505_024033.bmp,438,274,2,2
44,1507_1503_20180505_025533.bmp,436,276,2,2
45,1507_1503_20180505_031033.bmp,439,279,2,2
46,1507_1503_20180505_032533.bmp,442,281,2,2
47,1507_1503_20180505_034033.bmp,441,283,2,2
48,1507_1503_20180505_035533.bmp,440,285,2,2
49,1507_1503_20180505_041033.bmp,437,287,2,2
50,1507_1503_20180505_042533.bmp,436,289,2,2
51,1507_1503_20180505_044033.bmp,436,291,2,2
52,1507_1503_20180505_045533.bmp,438,293,2,2
53,1507_1503_20180505_051033.bmp,439,294,2,2
54,1507_1503_20180505_052533.bmp,439,298,2,2
55,1507_1503_20180505_054033.bmp,439,301,2,2
56,1507_1503_20180505_055533.bmp,438,302,2,2
57,1507_1503_20180505_061033.bmp,435,304,2,2
58,1507_1503_20180505_062533.bmp,435,306,2,2
59,1507_1503_20180505_064033.bmp,436,306,2,2
60,1507_1503_20180505_065533.bmp,439,309,2,2
61,1507_1503_20180505_071033.bmp,440,312,2,2
62,1507_1503_20180505_072533.bmp,440,315,2,2
63,1507_1503_20180505_074033.bmp,437,317,2,2
64,1507_1503_20180505_075533.bmp,433,318,2,2
65,1507_1503_20180505_081033.bmp,431,320,2,2
66,1507_1503_20180505_082533.bmp,436,322,2,2
67,1507_1503_20180505_084033.bmp,440,324,2,2
68,1507_1503_20180505_085533.bmp,444,327,2,2
69,1507_1503_20180505_091033.bmp,442,328,2,2
70,1507_1503_20180505_092533.bmp,437,331,2,2
71,1507_1503_20180505_094033.bmp,434,333,2,2
72,1507_1503_20180505_095533.bmp,436,335,2,2
73,1507_1503_20180505_101033.bmp,444,336,2,2
74,1507_1503_20180505_102533.bmp,449,338,2,2
75,1507_1503_20180505_104033.bmp,450,340,2,2
76,1507_1503_20180505_105533.bmp,445,343,2,2
77,1507_1503_20180505_111033.bmp,438,346,2,2
78,1507_1503_20180505_112533.bmp,434,348,2,2
79,1507_1503_20180505_114033.bmp,437,350,2,2
80,1507_1503_20180505_115533.bmp,444,353,2,2
81,1507_1503_20180505_121033.bmp,450,354,2,2
82,1507_1503_20180505_122533.bmp,449,356,2,2
83,1507_1503_20180505_124033.bmp,443,360,2,2
84,1507_1503_20180505_125533.bmp,438,362,2,2
85,1507_1503_20180505_131033.bmp,439,365,2,2
86,1507_1503_20180505_132533.bmp,444,367,2,2
87,1507_1503_20180505_134033.bmp,450,368,2,2
88,1507_1503_20180505_135533.bmp,451,371,2,2
89,1507_1503_20180505_141033.bmp,447,374,2,2
90,1507_1503_20180505_142533.bmp,443,376,2,2
91,1507_1503_20180505_144033.bmp,440,377,2,2
92,1507_1503_20180505_145533.bmp,443,382,2,2
93,1507_1503_20180505_151033.bmp,446,384,2,2
94,1507_1503_20180505_152533.bmp,450,386,2,2
95,1507_1503_20180505_154033.bmp,453,388,2,2
96,1507_1503_20180505_155533.bmp,455,389,2,2
97,1507_1503_20180505_161033.bmp,452,392,2,2
98,1507_1503_20180505_162533.bmp,449,396,2,2
99,1507_1503_20180505_164033.bmp,445,400,2,2
100,1507_1503_20180505_165533.bmp,445,402,2,2
101,1507_1503_20180505_171033.bmp,452,405,2,2
102,1507_1503_20180505_172533.bmp,459,406,2,2
103,1507_1503_20180505_174033.bmp,461,407,2,2
104,1507_1503_20180505_175533.bmp,458,411,2,2
105,1507_1503_20180505_181033.bmp,452,415,2,2
106,1507_1503_20180505_182533.bmp,446,418,2,2
107,1507_1503_20180505_184033.bmp,449,419,2,2
108,1507_1503_20180505_185533.bmp,456,421,2,2
109,1507_1503_20180505_191033.bmp,464,421,2,2
110,1507_1503_20180505_192533.bmp,466,424,2,2
111,1507_1503_20180505_194033.bmp,463,428,2,2
112,1507_1503_20180505_195533.bmp,455,432,2,2
113,1507_1503_20180505_201033.bmp,450,435,2,2
114,1507_1503_20180505_202533.bmp,450,438,2,2
115,1507_1503_20180505_204033.bmp,453,440,2,2
116,1507_1503_20180505_205533.bmp,457,441,2,2
117,1507_1503_20180505_211033.bmp,460,443,2,2
118,1507_1503_20180505_212533.bmp,463,445,2,2
119,1507_1503_20180505_214033.bmp,467,448,2,2
120,1507_1503_20180505_215533.bmp,466,451,2,2
121,1507_1503_20180505_221033.bmp,463,453,2,2
122,1507_1503_20180505_222533.bmp,459,457,2,2
123,1507_1503_20180505_224033.bmp,455,460,2,2
124,1507_1503_20180505_225533.bmp,453,462,2,2
125,1507_1503_20180505_231033.bmp,454,464,2,2
126,1507_1503_20180505_232533.bmp,458,465,2,2
127,1507_1503_20180505_234033.bmp,464,467,2,2
128,1507_1503_20180505_235533.bmp,470,470,2,2
129,1507_1503_20180506_001033.bmp,472,472,2,2
130,1507_1503_20180506_002533.bmp,470,476,2,2
131,1507_1503_20180506_004033.bmp,465,480,2,2
132,1507_1503_20180506_005533.bmp,459,483,2,2
