 ,Label,BX,BY,Width,Height
1,1507_1503_20180426_212515.bmp,1132,132,1,1
2,1507_1503_20180426_214015.bmp,1133,133,1,1
3,1507_1503_20180426_215515.bmp,1133,136,1,1
4,1507_1503_20180426_221015.bmp,1134,137,1,1
5,1507_1503_20180426_222515.bmp,1136,138,1,1
6,1507_1503_20180426_224015.bmp,1138,139,1,1
7,1507_1503_20180426_225515.bmp,1141,141,1,1
8,1507_1503_20180426_231015.bmp,1142,143,1,1
9,1507_1503_20180426_232515.bmp,1143,145,1,1
10,1507_1503_20180426_234015.bmp,1142,146,1,1
11,1507_1503_20180426_235515.bmp,1141,148,1,1
12,1507_1503_20180427_001015.bmp,1141,149,1,1
13,1507_1503_20180427_002515.bmp,1142,150,1,1
14,1507_1503_20180427_004015.bmp,1144,152,1,1
15,1507_1503_20180427_005515.bmp,1143,154,1,1
16,1507_1503_20180427_011015.bmp,1144,156,1,1
17,1507_1503_20180427_012515.bmp,1141,158,1,1
18,1507_1503_20180427_014015.bmp,1140,160,1,1
19,1507_1503_20180427_015515.bmp,1140,161,1,1
20,1507_1503_20180427_021015.bmp,1140,163,1,1
21,1507_1503_20180427_022515.bmp,1140,165,1,1
22,1507_1503_20180427_024015.bmp,1139,167,1,1
23,1507_1503_20180427_025515.bmp,1138,169,1,1
24,1507_1503_20180427_031015.bmp,1137,171,1,1
25,1507_1503_20180427_032515.bmp,1136,172,1,1
26,1507_1503_20180427_034015.bmp,1135,173,1,1
27,1507_1503_20180427_035515.bmp,1134,176,1,1
28,1507_1503_20180427_041015.bmp,1134,177,1,1
29,1507_1503_20180427_042515.bmp,1133,179,1,1
30,1507_1503_20180427_044015.bmp,1133,181,1,1
31,1507_1503_20180427_045515.bmp,1132,183,1,1
32,1507_1503_20180427_051015.bmp,1131,185,1,1
33,1507_1503_20180427_052515.bmp,1131,187,1,1
34,1507_1503_20180427_054015.bmp,1131,189,1,1
35,1507_1503_20180427_055515.bmp,1131,191,1,1
36,1507_1503_20180427_061015.bmp,1132,193,1,1
37,1507_1503_20180427_062515.bmp,1133,195,1,1
38,1507_1503_20180427_064015.bmp,1132,196,1,1
39,1507_1503_20180427_065515.bmp,1133,198,1,1
40,1507_1503_20180427_071015.bmp,1133,200,1,1
41,1507_1503_20180427_072515.bmp,1134,202,1,1
42,1507_1503_20180427_074015.bmp,1136,204,1,1
43,1507_1503_20180427_075515.bmp,1136,207,1,1
44,1507_1503_20180427_081015.bmp,1134,208,1,1
