 ,Label,BX,BY,Width,Height
1,1507_1503_20180426_165515.bmp,891,116,1,1
2,1507_1503_20180426_171015.bmp,890,117,1,1
3,1507_1503_20180426_172515.bmp,889,119,1,1
4,1507_1503_20180426_174015.bmp,889,120,1,1
5,1507_1503_20180426_175515.bmp,890,122,1,1
6,1507_1503_20180426_181015.bmp,891,123,1,1
7,1507_1503_20180426_182515.bmp,891,125,1,1
8,1507_1503_20180426_184015.bmp,889,126,1,1
9,1507_1503_20180426_185515.bmp,888,128,1,1
10,1507_1503_20180426_191015.bmp,887,130,1,1
11,1507_1503_20180426_192515.bmp,889,133,1,1
12,1507_1503_20180426_194015.bmp,890,134,1,1
13,1507_1503_20180426_195515.bmp,889,136,1,1
14,1507_1503_20180426_201015.bmp,886,137,1,1
15,1507_1503_20180426_202515.bmp,886,139,1,1
16,1507_1503_20180426_204015.bmp,886,141,1,1
17,1507_1503_20180426_205515.bmp,887,142,1,1
18,1507_1503_20180426_211015.bmp,886,144,1,1
19,1507_1503_20180426_212515.bmp,884,145,1,1
20,1507_1503_20180426_214015.bmp,882,146,1,1
21,1507_1503_20180426_215515.bmp,880,148,1,1
22,1507_1503_20180426_221015.bmp,880,150,1,1
23,1507_1503_20180426_222515.bmp,881,153,1,1
24,1507_1503_20180426_224015.bmp,881,154,1,1
25,1507_1503_20180426_225515.bmp,879,156,1,1
26,1507_1503_20180426_231015.bmp,877,157,1,1
27,1507_1503_20180426_232515.bmp,875,159,1,1
28,1507_1503_20180426_234015.bmp,876,161,1,1
29,1507_1503_20180426_235515.bmp,877,162,1,1
30,1507_1503_20180427_001015.bmp,878,166,1,1
31,1507_1503_20180427_002515.bmp,876,167,1,1
32,1507_1503_20180427_004015.bmp,873,168,1,1
33,1507_1503_20180427_005515.bmp,871,169,1,1
34,1507_1503_20180427_011015.bmp,872,172,1,1
35,1507_1503_20180427_012515.bmp,874,174,1,1
36,1507_1503_20180427_014015.bmp,876,177,1,1
37,1507_1503_20180427_015515.bmp,874,178,1,1
38,1507_1503_20180427_021015.bmp,871,179,1,1
39,1507_1503_20180427_022515.bmp,870,180,1,1
40,1507_1503_20180427_024015.bmp,872,184,1,1
41,1507_1503_20180427_025515.bmp,874,186,1,1
42,1507_1503_20180427_031015.bmp,875,189,1,1
43,1507_1503_20180427_032515.bmp,873,189,1,1
44,1507_1503_20180427_034015.bmp,869,190,1,1
45,1507_1503_20180427_035515.bmp,870,193,1,1
46,1507_1503_20180427_041015.bmp,872,196,1,1
47,1507_1503_20180427_042515.bmp,873,198,1,1
48,1507_1503_20180427_044015.bmp,872,200,1,1
49,1507_1503_20180427_045515.bmp,872,202,1,1
50,1507_1503_20180427_051015.bmp,872,204,1,1
51,1507_1503_20180427_052515.bmp,873,206,1,1
52,1507_1503_20180427_054015.bmp,874,209,1,1
53,1507_1503_20180427_055515.bmp,871,210,1,1
54,1507_1503_20180427_061015.bmp,869,212,1,1
55,1507_1503_20180427_062515.bmp,869,215,1,1
56,1507_1503_20180427_064015.bmp,871,217,1,1
57,1507_1503_20180427_065515.bmp,873,218,1,1
58,1507_1503_20180427_071015.bmp,875,221,1,1
59,1507_1503_20180427_072515.bmp,873,223,1,1
60,1507_1503_20180427_074015.bmp,869,225,1,1
61,1507_1503_20180427_075515.bmp,867,227,1,1
62,1507_1503_20180427_081015.bmp,865,229,1,1
63,1507_1503_20180427_082515.bmp,867,232,1,1
64,1507_1503_20180427_084015.bmp,868,235,1,1
65,1507_1503_20180427_085515.bmp,867,237,1,1
66,1507_1503_20180427_091015.bmp,866,238,1,1
67,1507_1503_20180427_092515.bmp,865,241,1,1
68,1507_1503_20180427_094015.bmp,866,244,1,1
69,1507_1503_20180427_095515.bmp,865,246,1,1
70,1507_1503_20180427_101015.bmp,865,249,1,1
71,1507_1503_20180427_102515.bmp,866,251,1,1
72,1507_1503_20180427_104015.bmp,865,253,1,1
73,1507_1503_20180427_105515.bmp,866,256,1,1
74,1507_1503_20180427_111015.bmp,864,259,1,1
75,1507_1503_20180427_112515.bmp,864,262,1,1
76,1507_1503_20180427_114015.bmp,863,264,1,1
77,1507_1503_20180427_115515.bmp,864,266,1,1
78,1507_1503_20180427_121015.bmp,864,269,1,1
79,1507_1503_20180427_122515.bmp,863,272,1,1
80,1507_1503_20180427_124015.bmp,864,274,1,1
81,1507_1503_20180427_125515.bmp,866,278,1,1
82,1507_1503_20180427_131015.bmp,864,281,1,1
83,1507_1503_20180427_132515.bmp,862,284,1,1
84,1507_1503_20180427_134015.bmp,861,286,1,1
85,1507_1503_20180427_135515.bmp,862,291,1,1
86,1507_1503_20180427_141015.bmp,864,292,1,1
87,1507_1503_20180427_142515.bmp,866,294,1,1
88,1507_1503_20180427_144015.bmp,864,298,1,1
89,1507_1503_20180427_145515.bmp,863,301,1,1
90,1507_1503_20180427_151015.bmp,861,304,1,1
91,1507_1503_20180427_152515.bmp,862,308,1,1
92,1507_1503_20180427_154015.bmp,862,310,1,1
93,1507_1503_20180427_155515.bmp,862,314,1,1
94,1507_1503_20180427_161015.bmp,861,318,1,1
95,1507_1503_20180427_162515.bmp,863,320,1,1
96,1507_1503_20180427_164015.bmp,861,323,1,1
97,1507_1503_20180427_165515.bmp,859,326,1,1
98,1507_1503_20180427_171015.bmp,858,329,1,1
99,1507_1503_20180427_172515.bmp,858,333,1,1
100,1507_1503_20180427_174015.bmp,861,336,1,1
101,1507_1503_20180427_175515.bmp,864,339,1,1
102,1507_1503_20180427_181015.bmp,860,342,1,1
103,1507_1503_20180427_182515.bmp,856,346,1,1
104,1507_1503_20180427_184015.bmp,857,350,1,1
105,1507_1503_20180427_185515.bmp,859,353,1,1
106,1507_1503_20180427_191015.bmp,860,356,1,1
107,1507_1503_20180427_192515.bmp,859,360,1,1
108,1507_1503_20180427_194015.bmp,856,363,1,1
109,1507_1503_20180427_195515.bmp,857,366,1,1
110,1507_1503_20180427_201015.bmp,858,370,1,1
111,1507_1503_20180427_202515.bmp,860,374,1,1
112,1507_1503_20180427_204015.bmp,859,377,1,1
113,1507_1503_20180427_205515.bmp,857,380,1,1
114,1507_1503_20180427_211015.bmp,859,385,1,1
115,1507_1503_20180427_212515.bmp,861,388,1,1
116,1507_1503_20180427_214015.bmp,860,392,1,1
117,1507_1503_20180427_215515.bmp,857,397,1,1
118,1507_1503_20180427_221015.bmp,855,400,1,1
119,1507_1503_20180427_222515.bmp,856,404,1,1
120,1507_1503_20180427_224015.bmp,859,407,1,1
121,1507_1503_20180427_225515.bmp,860,411,1,1
122,1507_1503_20180427_231015.bmp,858,415,1,1
123,1507_1503_20180427_232515.bmp,856,419,1,1
124,1507_1503_20180427_234015.bmp,856,424,1,1
125,1507_1503_20180427_235515.bmp,856,427,1,1
126,1507_1503_20180428_001015.bmp,855,432,1,1
127,1507_1503_20180428_002515.bmp,854,436,1,1
128,1507_1503_20180428_004015.bmp,854,440,1,1
129,1507_1503_20180428_005515.bmp,856,445,1,1
130,1507_1503_20180428_011015.bmp,857,449,1,1
