 ,Label,BX,BY,Width,Height
1,1507_1503_20180426_145515.bmp,473,139,1,1
2,1507_1503_20180426_151015.bmp,469,140,1,1
3,1507_1503_20180426_152515.bmp,468,142,1,1
4,1507_1503_20180426_154015.bmp,470,144,1,1
5,1507_1503_20180426_155515.bmp,471,145,1,1
6,1507_1503_20180426_161015.bmp,471,146,1,1
7,1507_1503_20180426_162515.bmp,470,147,1,1
8,1507_1503_20180426_164015.bmp,468,150,1,1
9,1507_1503_20180426_165515.bmp,467,151,1,1
10,1507_1503_20180426_171015.bmp,469,153,1,1
11,1507_1503_20180426_172515.bmp,469,156,1,1
12,1507_1503_20180426_174015.bmp,467,157,1,1
13,1507_1503_20180426_175515.bmp,466,159,1,1
14,1507_1503_20180426_181015.bmp,466,160,1,1
15,1507_1503_20180426_182515.bmp,465,162,1,1
16,1507_1503_20180426_184015.bmp,465,164,1,1
17,1507_1503_20180426_185515.bmp,463,165,1,1
18,1507_1503_20180426_191015.bmp,464,166,1,1
19,1507_1503_20180426_192515.bmp,462,167,1,1
20,1507_1503_20180426_194015.bmp,463,169,1,1
21,1507_1503_20180426_195515.bmp,463,170,1,1
22,1507_1503_20180426_201015.bmp,463,172,1,1
23,1507_1503_20180426_202515.bmp,463,173,1,1
24,1507_1503_20180426_204015.bmp,462,175,1,1
25,1507_1503_20180426_205515.bmp,462,176,1,1
26,1507_1503_20180426_211015.bmp,460,178,1,1
27,1507_1503_20180426_212515.bmp,461,180,1,1
28,1507_1503_20180426_222515.bmp,459,188,1,1
29,1507_1503_20180426_214015.bmp,461,182,1,1
30,1507_1503_20180426_215515.bmp,460,184,1,1
31,1507_1503_20180426_221015.bmp,460,187,1,1
32,1507_1503_20180426_224015.bmp,459,190,1,1
33,1507_1503_20180426_225515.bmp,458,193,1,1
34,1507_1503_20180426_231015.bmp,459,195,1,1
35,1507_1503_20180426_232515.bmp,459,197,1,1
36,1507_1503_20180426_234015.bmp,459,199,1,1
37,1507_1503_20180426_235515.bmp,458,201,1,1
38,1507_1503_20180427_001015.bmp,459,203,1,1
39,1507_1503_20180427_002515.bmp,461,206,1,1
40,1507_1503_20180427_004015.bmp,461,207,1,1
41,1507_1503_20180427_005515.bmp,460,210,1,1
42,1507_1503_20180427_011015.bmp,460,212,1,1
43,1507_1503_20180427_012515.bmp,459,214,1,1
44,1507_1503_20180427_014015.bmp,459,217,1,1
45,1507_1503_20180427_015515.bmp,461,219,1,1
46,1507_1503_20180427_021015.bmp,462,222,1,1
47,1507_1503_20180427_022515.bmp,461,224,1,1
48,1507_1503_20180427_024015.bmp,460,226,1,1
49,1507_1503_20180427_025515.bmp,459,228,1,1
50,1507_1503_20180427_031015.bmp,458,230,1,1
51,1507_1503_20180427_032515.bmp,459,234,1,1
52,1507_1503_20180427_034015.bmp,460,236,1,1
53,1507_1503_20180427_035515.bmp,461,238,1,1
54,1507_1503_20180427_041015.bmp,460,241,1,1
55,1507_1503_20180427_042515.bmp,460,243,1,1
56,1507_1503_20180427_044015.bmp,461,246,1,1
57,1507_1503_20180427_045515.bmp,461,249,1,1
58,1507_1503_20180427_051015.bmp,462,250,1,1
59,1507_1503_20180427_052515.bmp,461,253,1,1
60,1507_1503_20180427_054015.bmp,462,255,1,1
61,1507_1503_20180427_055515.bmp,463,258,1,1
62,1507_1503_20180427_061015.bmp,460,260,1,1
63,1507_1503_20180427_062515.bmp,461,264,1,1
64,1507_1503_20180427_064015.bmp,463,265,1,1
65,1507_1503_20180427_065515.bmp,463,267,1,1
66,1507_1503_20180427_071015.bmp,462,270,1,1
67,1507_1503_20180427_072515.bmp,462,272,1,1
68,1507_1503_20180427_074015.bmp,459,273,1,1
69,1507_1503_20180427_075515.bmp,459,276,1,1
70,1507_1503_20180427_081015.bmp,461,279,1,1
71,1507_1503_20180427_082515.bmp,462,281,1,1
72,1507_1503_20180427_084015.bmp,463,284,1,1
73,1507_1503_20180427_085515.bmp,461,287,1,1
74,1507_1503_20180427_091015.bmp,460,289,1,1
75,1507_1503_20180427_092515.bmp,461,292,1,1
76,1507_1503_20180427_094015.bmp,464,292,1,1
77,1507_1503_20180427_095515.bmp,467,295,1,1
78,1507_1503_20180427_101015.bmp,466,300,1,1
79,1507_1503_20180427_102515.bmp,462,302,1,1
80,1507_1503_20180427_104015.bmp,461,306,1,1
81,1507_1503_20180427_105515.bmp,463,308,1,1
82,1507_1503_20180427_111015.bmp,467,311,1,1
83,1507_1503_20180427_112515.bmp,469,314,1,1
84,1507_1503_20180427_114015.bmp,465,317,1,1
85,1507_1503_20180427_115515.bmp,463,320,1,1
86,1507_1503_20180427_121015.bmp,464,325,1,1
87,1507_1503_20180427_122515.bmp,467,328,1,1
88,1507_1503_20180427_124015.bmp,466,332,1,1
89,1507_1503_20180427_125515.bmp,467,335,1,1
90,1507_1503_20180427_131015.bmp,467,339,1,1
91,1507_1503_20180427_132515.bmp,471,341,1,1
92,1507_1503_20180427_134015.bmp,471,345,1,1
93,1507_1503_20180427_135515.bmp,469,348,1,1
94,1507_1503_20180427_141015.bmp,466,352,1,1
95,1507_1503_20180427_142515.bmp,466,356,1,1
96,1507_1503_20180427_144015.bmp,472,359,1,1
97,1507_1503_20180427_145515.bmp,477,362,1,1
98,1507_1503_20180427_151015.bmp,473,366,1,1
99,1507_1503_20180427_152515.bmp,468,370,1,1
100,1507_1503_20180427_154015.bmp,467,373,1,1
101,1507_1503_20180427_155515.bmp,471,376,1,1
102,1507_1503_20180427_161015.bmp,473,381,1,1
103,1507_1503_20180427_162515.bmp,471,384,1,1
104,1507_1503_20180427_164015.bmp,469,387,1,1
105,1507_1503_20180427_165515.bmp,469,390,1,1
106,1507_1503_20180427_171015.bmp,473,393,1,1
107,1507_1503_20180427_172515.bmp,476,397,1,1
108,1507_1503_20180427_174015.bmp,472,400,1,1
109,1507_1503_20180427_175515.bmp,470,403,1,1
110,1507_1503_20180427_181015.bmp,472,406,1,1
111,1507_1503_20180427_182515.bmp,474,410,1,1
112,1507_1503_20180427_184015.bmp,473,413,1,1
113,1507_1503_20180427_185515.bmp,471,416,1,1
114,1507_1503_20180427_191015.bmp,471,421,1,1
115,1507_1503_20180427_192515.bmp,473,425,1,1
116,1507_1503_20180427_194015.bmp,475,428,1,1
117,1507_1503_20180427_195515.bmp,474,432,1,1
