 ,Label,BX,BY,Width,Height
1,1507_1503_20180507_173740.bmp,571,136,2,2
2,1507_1503_20180507_175240.bmp,572,140,1,1
3,1507_1503_20180507_180740.bmp,573,140,1,1
4,1507_1503_20180507_182240.bmp,574,142,1,1
5,1507_1503_20180507_183740.bmp,575,143,1,1
6,1507_1503_20180507_185240.bmp,575,145,1,1
7,1507_1503_20180507_190740.bmp,577,146,1,1
8,1507_1503_20180507_192240.bmp,577,148,1,1
9,1507_1503_20180507_193740.bmp,579,150,1,1
10,1507_1503_20180507_195240.bmp,579,152,1,1
11,1507_1503_20180507_200740.bmp,580,153,1,1
12,1507_1503_20180507_202240.bmp,581,156,1,1
13,1507_1503_20180507_203740.bmp,581,157,1,1
14,1507_1503_20180507_205240.bmp,582,158,1,1
15,1507_1503_20180507_210740.bmp,583,160,1,1
16,1507_1503_20180507_212240.bmp,583,161,1,1
17,1507_1503_20180507_213740.bmp,582,163,1,1
18,1507_1503_20180507_215240.bmp,583,164,1,1
19,1507_1503_20180507_220740.bmp,582,165,1,1
20,1507_1503_20180507_222240.bmp,583,166,1,1
21,1507_1503_20180507_223740.bmp,583,168,1,1
22,1507_1503_20180507_225240.bmp,583,169,1,1
23,1507_1503_20180507_230740.bmp,583,171,1,1
24,1507_1503_20180507_232240.bmp,584,173,1,1
25,1507_1503_20180507_233740.bmp,583,174,1,1
26,1507_1503_20180507_235240.bmp,583,176,1,1
27,1507_1503_20180508_000740.bmp,582,177,1,1
28,1507_1503_20180508_002240.bmp,582,178,1,1
29,1507_1503_20180508_003740.bmp,582,180,1,1
30,1507_1503_20180508_005240.bmp,582,182,1,1
31,1507_1503_20180508_010740.bmp,580,183,1,1
33,1507_1503_20180508_012240.bmp,581,184,1,1
34,1507_1503_20180508_013740.bmp,579,186,1,1
35,1507_1503_20180508_015240.bmp,577,188,1,1
36,1507_1503_20180508_020740.bmp,575,189,1,1
37,1507_1503_20180508_022240.bmp,575,191,1,1
38,1507_1503_20180508_023740.bmp,575,193,1,1
39,1507_1503_20180508_025240.bmp,575,194,1,1
40,1507_1503_20180508_030740.bmp,577,195,1,1
41,1507_1503_20180508_032240.bmp,577,198,1,1
42,1507_1503_20180508_033740.bmp,575,198,1,1
43,1507_1503_20180508_035240.bmp,574,200,1,1
44,1507_1503_20180508_040740.bmp,571,201,1,1
45,1507_1503_20180508_042240.bmp,573,204,1,1
46,1507_1503_20180508_043740.bmp,576,206,1,1
47,1507_1503_20180508_045240.bmp,580,208,1,1
48,1507_1503_20180508_050740.bmp,579,209,1,1
49,1507_1503_20180508_052240.bmp,577,211,1,1
50,1507_1503_20180508_053740.bmp,575,213,1,1
51,1507_1503_20180508_055240.bmp,573,214,1,1
52,1507_1503_20180508_060740.bmp,576,217,1,1
53,1507_1503_20180508_062240.bmp,578,219,1,1
54,1507_1503_20180508_063740.bmp,580,220,1,1
55,1507_1503_20180508_065240.bmp,582,222,1,1
56,1507_1503_20180508_070740.bmp,579,223,1,1
57,1507_1503_20180508_072240.bmp,576,225,1,1
58,1507_1503_20180508_073740.bmp,574,226,1,1
59,1507_1503_20180508_075240.bmp,574,228,1,1
60,1507_1503_20180508_080740.bmp,576,231,1,1
61,1507_1503_20180508_082240.bmp,578,233,1,1
62,1507_1503_20180508_083740.bmp,580,235,1,1
63,1507_1503_20180508_085240.bmp,582,237,1,1
