gia_dir,scale,species,experiment,plant,line_number,genotype,imaging_day,image_count,bushiness,surfacearea(mm^2),perimeter(mm),majorellipseaxes(mm),networkarea(mm^2),totallength(mm),minorellipseaxes(mm),widthdepthratio,mediannumberofroots,depth(mm),maxwidth(mm),lengthdistr(mm),networkconvexarea(mm^2),averagerootwidth(mm),ellipseaxesaspectratio,volume(mm^3),solidity,specificrootlength(1/mm^2),connectedcomponentscount,maximumnumberofroots
/data/rsa/processed_images/rice/RIL/p02026/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02026,1501,x_Kitaake,d07,20,1.45459596,876.4862569,1979.669865,58.56912235,219.7329436,1015.102185,41.99520835,0.830400865,9.8,60.369735,50.131725,0.039725566,2520.518595,0.275424655,0.71869096,105.8035432,0.087522657,9.696595279,1.4,14.2
/data/rsa/processed_images/rice/RIL/p02029/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02029,1501,x_Kitaake,d07,20,1.659141414,948.285208,1919.87142,55.56956386,231.7988861,997.80114,40.07701553,0.862083246,10.1,57.36738,49.457685,0.038663798,2161.689301,0.30269765,0.723883836,126.7676541,0.107677466,7.989616892,1.35,16.7
/data/rsa/processed_images/rice/RIL/p02031/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02031,1501,x_Kitaake,d07,20,1.625396825,912.4601049,1920.30708,64.41211572,225.2451736,996.187965,32.8687939,0.647231004,8.25,61.18146,39.597795,0.030649607,1893.369568,0.292178302,0.510008529,121.0575157,0.119198643,8.309698945,1.2,13.35
/data/rsa/processed_images/rice/RIL/p02034/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02034,1501,x_Kitaake,d07,20,1.808333333,1023.995047,2255.154945,57.38926136,258.0063881,1150.880145,36.92371659,0.692322752,9.85,64.409865,44.591445,0.038252486,2260.268302,0.283301206,0.643230151,121.4769955,0.114340517,9.492862936,1.85,17.75
/data/rsa/processed_images/rice/RIL/p02040/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02040,1501,x_Kitaake,d07,20,2.329861111,1025.359842,2109.87261,55.62824062,255.7545022,1090.21038,37.38571238,0.751623709,8,62.71038,47.13348,0.042602704,2172.545727,0.299427083,0.672133059,130.1884786,0.117944679,8.453625211,1.4,18.5
/data/rsa/processed_images/rice/RIL/p02048/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02048,1501,x_Kitaake,d07,20,1.785416667,890.355733,1906.75641,53.86617053,224.8366382,948.45648,35.36919951,0.747575389,9.15,59.366895,44.381835,0.032106702,2136.770539,0.29889428,0.656844818,117.5129029,0.10653143,8.246682376,2,16.3
/data/rsa/processed_images/rice/RIL/p02049/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02049,1501,x_Kitaake,d07,20,2.205357143,978.1365779,2030.954445,54.64445524,247.8206207,1020.77193,38.92984685,0.716163825,7.9,66.88203,47.895885,0.051501041,2264.99771,0.305230746,0.712509882,132.4081501,0.10985692,7.969488632,1.7,17.4
/data/rsa/processed_images/rice/RIL/p02051/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02051,1501,x_Kitaake,d07,20,1.608134921,952.9021659,1933.243305,61.95983877,237.7959195,1006.77327,33.23338129,0.562073671,8.6,63.8694,35.90085,0.039641077,2013.375227,0.301422125,0.536493945,119.5669855,0.118320071,8.435740695,2.1,13.75
/data/rsa/processed_images/rice/RIL/p02016/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02016,1520,FN790_S,d07,20,1.785,846.3043313,1934.24409,103.8007621,216.1768187,993.64182,30.26324953,0.312039809,4.9,116.51439,36.35706,0.0666814,2927.172844,0.271528687,0.292112633,99.21511985,0.077108501,10.20734624,1.15,8.7
/data/rsa/processed_images/rice/RIL/p02018/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02018,1520,FN790_S,d07,20,2.125,915.2309366,2087.19774,112.9533563,237.2044426,1055.89599,36.72106386,0.357666673,4,126.844875,45.36618,0.062023652,3721.222661,0.275982424,0.32502957,111.2529422,0.065162095,9.640050696,1.1,8.5
/data/rsa/processed_images/rice/RIL/p02027/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02027,1520,FN790_S,d07,20,2.1125,910.0438969,1980.113745,109.7908588,237.4181277,1011.538815,33.28589339,0.366302489,4,119.25165,43.683135,0.057409655,3306.409822,0.286518291,0.303517896,100.6867399,0.072576642,10.06096084,1.85,8.45
/data/rsa/processed_images/rice/RIL/p02033/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02033,1520,FN790_S,d07,20,2.145,900.4801006,2174.060535,108.9032939,233.583452,1090.04187,38.67667201,0.420909078,4.35,119.820885,50.43381,0.063897866,3851.311552,0.263153082,0.355206667,102.5277618,0.060773108,10.83594523,1.05,9.2
/data/rsa/processed_images/rice/RIL/p02035/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02035,1520,FN790_S,d07,20,2.3625,891.9776376,2141.82786,106.8891149,234.1183404,1077.861885,35.66381798,0.412400177,4,118.604325,48.911055,0.065198199,3763.425841,0.263495102,0.333612466,93.28906352,0.063304402,11.56969413,1.2,9.45
/data/rsa/processed_images/rice/RIL/p02039/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02039,1520,FN790_S,d07,20,1.9725,939.8516642,2258.70393,114.8129689,244.8079991,1136.256765,29.99239266,0.307155581,4.55,127.59084,39.190905,0.056739134,3279.420343,0.263448164,0.261663155,105.4270855,0.076161659,10.90740216,1.05,8.85
/data/rsa/processed_images/rice/RIL/p02042/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02042,1520,FN790_S,d07,20,2.055,916.95872,2043.691335,111.3231538,234.8835525,1028.792595,29.38511841,0.286266242,4.1,121.46283,34.7706,0.066420142,2904.751284,0.283762512,0.263915872,115.25335,0.082906589,9.18318689,2.05,8.4
/data/rsa/processed_images/rice/RIL/p02058/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02058,1520,FN790_S,d07,20,1.74,889.6221948,2240.75967,109.5469475,230.0614492,1126.762665,28.80410041,0.311396385,5.1,119.089305,37.08453,0.053924193,2883.376781,0.251405185,0.262660747,99.42993627,0.082309112,11.51927656,1.15,8.85
