 ,Label,BX,BY,Width,Height
1,1507_1503_20180507_173740.bmp,192,145,1,1
2,1507_1503_20180507_175240.bmp,192,147,1,1
3,1507_1503_20180507_180740.bmp,192,149,1,1
4,1507_1503_20180507_182240.bmp,192,151,1,1
5,1507_1503_20180507_183740.bmp,193,153,1,1
6,1507_1503_20180507_185240.bmp,196,155,1,1
7,1507_1503_20180507_190740.bmp,198,159,1,1
8,1507_1503_20180507_192240.bmp,199,160,1,1
9,1507_1503_20180507_193740.bmp,200,161,1,1
10,1507_1503_20180507_195240.bmp,202,164,1,1
11,1507_1503_20180507_200740.bmp,203,166,1,1
12,1507_1503_20180507_202240.bmp,204,167,1,1
13,1507_1503_20180507_203740.bmp,205,170,1,1
14,1507_1503_20180507_205240.bmp,205,172,1,1
15,1507_1503_20180507_210740.bmp,204,174,1,1
16,1507_1503_20180507_212240.bmp,203,176,1,1
17,1507_1503_20180507_213740.bmp,203,178,1,1
18,1507_1503_20180507_215240.bmp,206,180,1,1
19,1507_1503_20180507_220740.bmp,210,182,1,1
20,1507_1503_20180507_222240.bmp,211,183,1,1
21,1507_1503_20180507_223740.bmp,209,185,1,1
22,1507_1503_20180507_225240.bmp,207,188,1,1
23,1507_1503_20180507_230740.bmp,204,190,1,1
24,1507_1503_20180507_232240.bmp,204,192,1,1
25,1507_1503_20180507_233740.bmp,206,194,1,1
26,1507_1503_20180507_235240.bmp,208,194,1,1
27,1507_1503_20180508_000740.bmp,208,197,1,1
28,1507_1503_20180508_002240.bmp,205,200,1,1
29,1507_1503_20180508_003740.bmp,202,202,1,1
30,1507_1503_20180508_005240.bmp,201,203,1,1
31,1507_1503_20180508_010740.bmp,201,205,1,1
32,1507_1503_20180508_012240.bmp,202,207,1,1
33,1507_1503_20180508_013740.bmp,202,209,1,1
34,1507_1503_20180508_015240.bmp,201,211,1,1
35,1507_1503_20180508_020740.bmp,199,213,1,1
36,1507_1503_20180508_022240.bmp,197,215,1,1
37,1507_1503_20180508_023740.bmp,199,218,1,1
38,1507_1503_20180508_025240.bmp,201,220,1,1
39,1507_1503_20180508_030740.bmp,203,221,1,1
40,1507_1503_20180508_032240.bmp,201,224,1,1
41,1507_1503_20180508_033740.bmp,196,226,1,1
42,1507_1503_20180508_035240.bmp,193,228,1,1
43,1507_1503_20180508_040740.bmp,196,230,1,1
44,1507_1503_20180508_042240.bmp,200,232,1,1
45,1507_1503_20180508_043740.bmp,205,234,1,1
46,1507_1503_20180508_045240.bmp,205,237,1,1
47,1507_1503_20180508_050740.bmp,200,239,1,1
48,1507_1503_20180508_052240.bmp,196,240,1,1
49,1507_1503_20180508_053740.bmp,196,243,1,1
50,1507_1503_20180508_055240.bmp,200,245,1,1
51,1507_1503_20180508_060740.bmp,205,247,1,1
52,1507_1503_20180508_062240.bmp,208,248,1,1
53,1507_1503_20180508_063740.bmp,208,251,1,1
54,1507_1503_20180508_065240.bmp,205,254,1,1
55,1507_1503_20180508_070740.bmp,200,257,1,1
56,1507_1503_20180508_072240.bmp,198,258,1,1
57,1507_1503_20180508_073740.bmp,200,262,1,1
58,1507_1503_20180508_075240.bmp,202,263,1,1
59,1507_1503_20180508_080740.bmp,205,265,1,1
60,1507_1503_20180508_082240.bmp,208,266,1,1
61,1507_1503_20180508_083740.bmp,208,270,1,1
62,1507_1503_20180508_085240.bmp,206,271,1,1
63,1507_1503_20180508_090740.bmp,203,273,1,1
64,1507_1503_20180508_092240.bmp,201,275,1,1
65,1507_1503_20180508_093740.bmp,201,277,1,1
66,1507_1503_20180508_095240.bmp,203,279,1,1
67,1507_1503_20180508_100740.bmp,207,280,1,1
68,1507_1503_20180508_102240.bmp,209,283,1,1
69,1507_1503_20180508_103740.bmp,206,286,1,1
70,1507_1503_20180508_105240.bmp,202,287,1,1
71,1507_1503_20180508_110740.bmp,198,288,1,1
72,1507_1503_20180508_112240.bmp,194,290,1,1
73,1507_1503_20180508_113740.bmp,196,293,1,1
